no.,mySUNI ID,Company,Title,Category,Level,Nickname,,,,,,,,,,,,,,,,,,
124,F752193B9D684821A33E924A662E130F20240709080755,SK에너지,30년간 써온 고전적인 방식 이제 탈피합시다!,자동화,초급,태오에르난데스,,,,,,,,,,,,,,,,,,
125,0DCCA23CBF7A4E77878AB9D91634BB7A20240619163846,SK하이닉스,11주년 장기근속 휴가 일정을 chap GPT로!(나만의 여행상품 제작),일상,초급,빠른코딩마스터4583,,,,,,,,,,,,,,,,,,
126,7B811481A9B14C46A285974D1DB4D5A920240709082405,SK하이닉스,안전한 지게차 사용환경 구축을 통한 사고예방,질의,초급,어콩이,,,,,,,,,,,,,,,,,,
127,0DCCA23CBF7A4E77878AB9D91634BB7A20240619163846,SK하이닉스,영유다니는 우리애기보다 못한 내 영어회화를 도와줘.....,일상,초급,빠른코딩마스터4583,,,,,,,,,,,,,,,,,,
128,824D5E0F805E4A6681AAB528612C881520240701085758,SK텔레콤,AI와 함께 이사를,일상,초급,그대는선물입니다,,,,,,,,,,,,,,,,,,
129,66152ABC91064906841A86600342948E20240709081640,SK텔레콤,AI 공모전을 AI로 날로 먹기,질의,초급,활기찬별똥별1234,,,,,,,,,,,,,,,,,,
130,CD7D14B14FC5435A9802637763DA45A120240709085150,SK온,AI를 활용한 외관검사 자동화,자동화,초급,활발한코딩천사2309,,,,,,,,,,,,,,,,,,
131,9BE8D2BA012C441399E94EF596A8F6D520240702145209,서비스에이스,리더십 역량 강화를 위한 e-러닝 제작,콘텐츠,중급,활기찬빼빼로,,,,,,,,,,,,,,,,,,
132,45701A6AE4AF42E7BDC7F17F9A28F33E20240626121400,SK하이닉스,ChatGPT를 활용한 해석 Knowledge 이해,질의,초급,써니보이,,,,,,,,,,,,,,,,,,
133,9DE3DCE4054745D9AC925D2E7807F26120240709084947,SK하이닉스,ChatGPT 3.5를 이용한 excel VBA작성,자동화,초급,활발한고양이0427,,,,,,,,,,,,,,,,,,
134,9AF188B517F4403F911FE68E478F230D20240619140423,SK바이오사이언스,AI를 활용한 공정 시간의 과학적 근거 마련하기,질의,초급,활발한고양이2023,,,,,,,,,,,,,,,,,,
135,0AB47C302F16448D9BA9EF09D60F0D0020240709085734,SK하이닉스,왕초보 엑셀에서 AI 사용하기,자동화,초급,진진돌이,,,,,,,,,,,,,,,,,,
136,2C6FA76B079A437B8926AED79289F63620240709094307,SK하이닉스,ChatGPT를 활용하여 Program Setup Interlock 개발,자동화,초급,jungjae02,,,,,,,,,,,,,,,,,,
137,31DCDEB84AC243C1B3FEE0BDF7CE2A6D20240619130433,SK텔레콤,ChatGPT python 코딩 활용 경험담,자동화,초급,플레이,,,,,,,,,,,,,,,,,,
138,31DD3F917B3345698B1383A70803488620240703143253,SK텔레콤,생성형 AI를 활용한 Enterprise 솔루션 소개 영상 제작,콘텐츠,중급,용감한코딩천재1234,,,,,,,,,,,,,,,,,,
139,EE899DFF194D43678C473681F6A6259720240709083023,SK머티리얼즈,ChatGPT4.0 업무 활용 사례,질의,초급,신을부르는소리1024,,,,,,,,,,,,,,,,,,
140,B1045B4D3DE8416CA858B277EFE3B95D20240709105500,SK텔레콤,나의 일상 기록을 영어로 완벽하게 표현해주는 AI 정말 정말 놀라워요!!,일상,초급,고산,,,,,,,,,,,,,,,,,,
141,A9B230B0E7F6487080135035E36367EF20240628120456,SK텔레콤,Edge AI Accelator를 활용한 IoT 솔루션 활용분야,자동화,초급,portland,,,,,,,,,,,,,,,,,,
142,9943E837F4784FDA94F48B633CA163B020240701084321,SK텔레콤,GPT와 함께하는 아웃룩 메일 읽어와서 첨부파일 정리하기,자동화,중급,활기찬코리아1234,,,,,,,,,,,,,,,,,,
143,CC7D7BA4682240AB9FE6E0FBF630FA8D20240619132014,SK바이오사이언스,통계프로그램 대신 써볼까? 어디까지 해줄 수 있을까?,데이터분석,초급,도리도리,,,,,,,,,,,,,,,,,,
144,D8E3587B8844417A9AAC99098553A78920240620104426,SK하이닉스,U-NET 으로 예측하는 TEM Guide Image생성,데이터분석,초급,CVAE미분중,,,,,,,,,,,,,,,,,,
